City,"Meal Inexpensive Restaurant","Meal for 2 People Mid-range Restaurant Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (1 pint draught),Imported Beer (12 oz small bottle),Cappuccino (regular),Coke/Pepsi (12 oz small bottle),Water (12 oz small bottle),Markets,"Milk (regular) (1 gallon)",Loaf of Fresh White Bread (1 lb),"Rice (white) (1 lb)",Eggs (regular) (12),Local Cheese (1 lb),Chicken Fillets (1 lb),Beef Round (1 lb) (or Equivalent Back Leg Red Meat),Apples (1 lb),Banana (1 lb),Oranges (1 lb),Tomato (1 lb),Potato (1 lb),Onion (1 lb),Lettuce (1 head),Water (1.5 liter bottle),Bottle of Wine (Mid-Range),Domestic Beer (0.5 liter bottle),Imported Beer (12 oz small bottle),Cigarettes 20 Pack (Marlboro),Transportation,One-way Ticket (Local Transport),Monthly Pass (Regular Price),Taxi Start (Normal Tariff),Taxi 1 mile (Normal Tariff),Taxi 1hour Waiting (Normal Tariff),Gasoline (1 gallon),Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),Utilities (Monthly),"Basic (Electricity Heating Cooling Water Garbage) for 915 sq ft Apartment",1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans),"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",Sports And Leisure,"Fitness Club Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema International Release 1 Seat",Childcare,"Preschool (or Kindergarten) Full Day Private Monthly for 1 Child","International Primary School Yearly for 1 Child",Clothing And Shoes 1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara H&M ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Rent Per Month,Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Buy Apartment Price,Price per Square Feet to Buy Apartment in City Centre,Price per Square Feet to Buy Apartment Outside of Centre,Salaries And Financing,Average Monthly Net Salary (After Tax),"Mortgage Interest Rate in Percentages (%) Yearly for 20 Years Fixed-Rate",Country
Douglas,17.24 €,68.97 €,6.90 €,3.45 €,3.16 €,2.90 €,1.67 €,1.16 €,Edit,4.03 €,1.03 €,0.80 €,2.52 €,3.65 €,2.61 €,3.31 €,0.61 €,0.39 €,4.30 €,1.27 €,0.56 €,0.44 €,0.95 €,0.88 €,8.05 €,2.05 €,2.49 €,13.22 €,Edit,3.10 €,71.84 €,2.53 €,1.85 €,51.36 €,5.78 €,"22,128.07 €","24,576.53 €",Edit,93.40 €,0.13 €,45.49 €,Edit,33.83 €,10.54 €,9.77 €,Edit,766.34 €,"20,468.95 €",Edit,55.56 €,36.78 €,55.94 €,59.39 €,Edit,766.34 €,622.65 €,"1,235.72 €","1,206.99 €",Edit,157.52 €,441.41 €,Edit,"3,520.79 €",3.81,Isle Of Man
Greenville,12.06 €,47.01 €,5.82 €,4.58 €,5.62 €,3.44 €,1.69 €,1.27 €,Edit,2.97 €,2.38 €,1.28 €,2.90 €,5.06 €,4.61 €,5.54 €,2.01 €,0.52 €,2.18 €,1.33 €,1.39 €,1.27 €,1.73 €,2.08 €,9.98 €,2.81 €,2.50 €,4.99 €,Edit,1.25 €,44.93 €,2.91 €,1.66 €,20.80 €,1.75 €,"16,639.00 €","18,360.30 €",Edit,87.58 €,0.21 €,49.81 €,Edit,38.27 €,26.90 €,9.98 €,Edit,987.94 €,"13,449.86 €",Edit,36.42 €,30.47 €,67.02 €,102.61 €,Edit,"1,111.25 €",797.84 €,"1,559.91 €","1,180.33 €",Edit,152.60 €,109.58 €,Edit,"3,161.80 €",4.77,United States
Rockford,12.48 €,49.92 €,6.66 €,2.91 €,3.74 €,4.16 €,1.80 €,0.94 €,Edit,1.79 €,1.62 €,1.66 €,1.30 €,5.54 €,3.95 €,5.30 €,1.61 €,0.52 €,1.38 €,2.87 €,1.63 €,1.21 €,1.41 €,1.45 €,12.48 €,3.27 €,3.12 €,6.45 €,Edit,?,49.92 €,?,4.16 €,?,2.05 €,"19,550.82 €","17,886.92 €",Edit,175.54 €,0.04 €,59.69 €,Edit,25.79 €,16.64 €,11.13 €,Edit,554.63 €,?,Edit,40.56 €,27.04 €,67.39 €,126.18 €,Edit,568.50 €,540.77 €,"1,275.66 €","1,109.27 €",Edit,?,30.78 €,Edit,"2,227.96 €",4.80,United States
Abilene,9.98 €,33.28 €,5.82 €,3.33 €,3.54 €,3.61 €,1.55 €,1.18 €,Edit,2.02 €,1.55 €,2.08 €,1.66 €,5.27 €,4.30 €,4.43 €,1.94 €,0.45 €,1.66 €,1.25 €,1.32 €,1.18 €,0.83 €,1.18 €,4.16 €,1.39 €,1.32 €,5.62 €,Edit,1.29 €,?,2.50 €,3.33 €,8.32 €,1.66 €,"17,886.92 €","19,479.00 €",Edit,98.90 €,0.05 €,51.89 €,Edit,34.32 €,16.64 €,8.32 €,Edit,270.38 €,"6,905.18 €",Edit,33.28 €,28.08 €,48.81 €,70.72 €,Edit,561.57 €,405.58 €,"1,014.98 €",894.35 €,Edit,248.33 €,63.13 €,Edit,"2,637.28 €",3.50,United States
Newport,11.50 €,45.98 €,6.87 €,3.79 €,4.02 €,3.26 €,1.73 €,1.06 €,Edit,4.23 €,1.10 €,0.84 €,2.80 €,2.04 €,2.65 €,3.13 €,0.86 €,0.49 €,0.93 €,0.76 €,0.61 €,0.52 €,0.83 €,1.10 €,8.04 €,1.79 €,2.22 €,12.24 €,Edit,2.64 €,34.49 €,3.45 €,2.07 €,18.62 €,5.44 €,"22,547.64 €","23,968.82 €",Edit,269.64 €,0.13 €,36.16 €,Edit,26.44 €,14.94 €,9.20 €,Edit,"1,034.56 €","11,495.10 €",Edit,57.48 €,30.65 €,77.28 €,65.52 €,Edit,680.13 €,567.57 €,"1,229.98 €",797.47 €,Edit,507.26 €,173.06 €,Edit,"1,641.25 €",3.42,United Kingdom
Richmond,12.48 €,49.92 €,5.82 €,4.99 €,5.82 €,3.81 €,1.68 €,1.50 €,Edit,2.33 €,1.94 €,1.31 €,1.46 €,4.10 €,2.89 €,4.37 €,1.65 €,0.43 €,1.66 €,1.54 €,0.88 €,0.90 €,1.22 €,1.61 €,9.98 €,2.71 €,2.61 €,4.99 €,Edit,1.46 €,49.92 €,2.50 €,2.08 €,24.96 €,1.88 €,"19,089.09 €","17,363.39 €",Edit,122.81 €,0.12 €,57.36 €,Edit,28.65 €,8.60 €,9.98 €,Edit,730.93 €,"10,191.39 €",Edit,40.23 €,27.04 €,61.76 €,84.23 €,Edit,964.21 €,797.38 €,"1,674.48 €","1,448.01 €",Edit,322.25 €,106.52 €,Edit,"2,991.69 €",3.74,United States
Oakland,12.48 €,56.16 €,6.66 €,5.82 €,5.82 €,3.68 €,1.86 €,1.53 €,Edit,3.79 €,3.01 €,2.03 €,3.30 €,8.48 €,5.41 €,7.70 €,1.99 €,0.89 €,1.30 €,2.43 €,1.44 €,1.24 €,2.19 €,1.80 €,9.98 €,2.14 €,2.22 €,8.32 €,Edit,3.00 €,76.79 €,2.91 €,3.16 €,33.28 €,2.96 €,"19,143.17 €","18,745.29 €",Edit,189.99 €,0.10 €,54.94 €,Edit,61.91 €,9.98 €,10.40 €,Edit,"1,249.66 €","17,304.56 €",Edit,45.46 €,36.95 €,70.67 €,92.47 €,Edit,"2,285.86 €","1,812.25 €","3,810.33 €","2,793.97 €",Edit,821.32 €,389.07 €,Edit,"4,143.78 €",3.81,United States
Verona,13.00 €,50.00 €,8.00 €,4.75 €,3.50 €,1.50 €,2.11 €,1.27 €,Edit,3.77 €,1.69 €,1.00 €,2.42 €,5.73 €,3.83 €,7.71 €,0.69 €,0.91 €,0.94 €,0.94 €,0.61 €,0.71 €,1.00 €,0.31 €,5.00 €,1.65 €,1.17 €,5.70 €,Edit,1.40 €,37.00 €,5.60 €,1.75 €,25.80 €,5.47 €,"23,750.00 €","27,166.67 €",Edit,165.94 €,0.10 €,28.55 €,Edit,55.62 €,16.00 €,9.00 €,Edit,653.33 €,"2,500.00 €",Edit,68.57 €,30.71 €,81.25 €,120.00 €,Edit,666.67 €,481.11 €,"1,006.25 €",721.25 €,Edit,305.03 €,165.68 €,Edit,"1,620.56 €",2.12,Italy
Montgomery,8.32 €,33.28 €,6.66 €,4.16 €,4.16 €,4.16 €,1.65 €,1.35 €,Edit,3.01 €,1.87 €,2.49 €,2.49 €,2.49 €,3.12 €,5.82 €,4.15 €,0.43 €,4.98 €,5.82 €,0.71 €,0.79 €,2.07 €,3.32 €,9.56 €,1.27 €,1.04 €,4.15 €,Edit,?,29.95 €,3.33 €,1.66 €,?,1.69 €,"23,294.60 €","16,223.02 €",Edit,163.69 €,0.00 €,60.73 €,Edit,34.73 €,8.32 €,8.32 €,Edit,436.77 €,"75,873.84 €",Edit,39.10 €,20.80 €,62.40 €,109.54 €,Edit,896.43 €,689.27 €,"1,081.53 €",977.54 €,Edit,201.75 €,136.13 €,Edit,"2,380.21 €",4.52,United States
Evansville,9.98 €,47.84 €,5.82 €,2.08 €,3.54 €,3.54 €,1.20 €,1.09 €,Edit,1.79 €,1.37 €,1.60 €,1.61 €,2.70 €,2.53 €,6.24 €,2.16 €,0.82 €,2.49 €,1.09 €,0.83 €,0.49 €,3.32 €,1.46 €,12.48 €,1.19 €,2.29 €,5.82 €,Edit,0.73 €,49.92 €,2.50 €,2.08 €,17.05 €,1.97 €,"23,504.25 €","18,163.96 €",Edit,184.03 €,0.08 €,42.98 €,Edit,24.27 €,?,8.32 €,Edit,540.77 €,"5,823.65 €",Edit,41.60 €,26.35 €,66.35 €,74.32 €,Edit,571.97 €,512.48 €,998.34 €,804.22 €,Edit,141.56 €,51.53 €,Edit,"1,918.48 €",4.12,United States
Southampton,12.64 €,57.48 €,5.98 €,4.60 €,4.60 €,3.25 €,1.59 €,1.13 €,Edit,3.92 €,1.12 €,0.38 €,2.02 €,2.65 €,2.59 €,5.56 €,0.88 €,0.54 €,1.04 €,0.84 €,0.72 €,0.33 €,0.89 €,1.22 €,7.47 €,1.74 €,1.87 €,11.78 €,Edit,2.70 €,63.22 €,2.64 €,2.83 €,16.55 €,5.73 €,"27,013.49 €","27,588.25 €",Edit,160.13 €,0.14 €,38.10 €,Edit,22.70 €,18.68 €,13.51 €,Edit,"1,226.14 €","18,966.92 €",Edit,82.93 €,32.84 €,77.67 €,94.83 €,Edit,817.43 €,645.00 €,"1,510.78 €","1,174.14 €",Edit,373.77 €,290.12 €,Edit,"2,332.93 €",3.60,United Kingdom
Shrewsbury,13.79 €,51.73 €,5.75 €,3.91 €,3.45 €,3.13 €,1.43 €,0.85 €,Edit,5.37 €,1.29 €,0.68 €,2.77 €,2.71 €,3.04 €,3.25 €,0.73 €,0.46 €,0.61 €,1.09 €,0.42 €,0.49 €,1.03 €,1.40 €,9.20 €,2.30 €,2.34 €,13.79 €,Edit,2.76 €,82.34 €,4.60 €,1.72 €,20.69 €,5.45 €,"20,116.43 €","20,116.43 €",Edit,196.23 €,0.06 €,33.62 €,Edit,43.20 €,8.62 €,10.92 €,Edit,"1,034.56 €","13,794.12 €",Edit,56.13 €,34.68 €,84.11 €,88.51 €,Edit,672.46 €,546.02 €,"1,120.77 €",919.61 €,Edit,320.38 €,240.28 €,Edit,"2,198.44 €",3.04,United Kingdom
Henderson,12.48 €,49.92 €,6.66 €,3.74 €,4.16 €,3.24 €,0.96 €,1.14 €,Edit,2.50 €,2.30 €,2.09 €,2.03 €,3.57 €,2.48 €,3.53 €,1.38 €,0.62 €,1.51 €,1.24 €,1.04 €,0.81 €,1.05 €,1.31 €,8.32 €,2.28 €,2.77 €,8.32 €,Edit,4.16 €,54.08 €,3.24 €,2.30 €,33.28 €,2.39 €,"21,176.87 €","23,433.26 €",Edit,146.12 €,0.08 €,70.61 €,Edit,23.06 €,4.16 €,9.15 €,Edit,"1,331.12 €","12,978.42 €",Edit,37.85 €,28.42 €,59.38 €,80.60 €,Edit,"1,088.29 €",961.02 €,"1,536.37 €","1,318.15 €",Edit,345.51 €,140.58 €,Edit,"3,424.31 €",4.31,United States
Windsor,13.54 €,54.15 €,6.77 €,4.06 €,5.08 €,2.95 €,1.56 €,1.41 €,Edit,6.55 €,1.62 €,0.80 €,2.66 €,4.69 €,3.27 €,3.78 €,0.99 €,0.50 €,1.33 €,0.79 €,0.70 €,0.60 €,1.72 €,1.30 €,11.51 €,1.78 €,1.95 €,9.47 €,Edit,2.03 €,55.84 €,2.64 €,3.05 €,23.01 €,2.84 €,"19,628.01 €","17,097.52 €",Edit,94.28 €,0.16 €,51.11 €,Edit,22.56 €,19.63 €,9.48 €,Edit,727.59 €,"7,219.50 €",Edit,39.42 €,35.58 €,74.37 €,80.66 €,Edit,715.50 €,609.15 €,"1,101.73 €","1,087.15 €",Edit,219.97 €,169.21 €,Edit,"1,803.58 €",3.69,Canada
Davenport,10.82 €,34.94 €,6.45 €,2.29 €,2.91 €,2.50 €,1.18 €,0.98 €,Edit,4.15 €,2.19 €,3.08 €,2.72 €,3.86 €,4.15 €,5.10 €,3.44 €,0.78 €,3.57 €,1.99 €,1.93 €,1.87 €,1.49 €,2.08 €,11.65 €,3.00 €,2.28 €,9.15 €,Edit,0.83 €,24.96 €,2.08 €,1.25 €,15.81 €,1.87 €,"17,054.97 €","17,470.95 €",Edit,113.93 €,?,60.73 €,Edit,31.06 €,0.00 €,9.15 €,Edit,540.77 €,"9,151.45 €",Edit,37.44 €,24.96 €,60.87 €,75.54 €,Edit,737.32 €,734.89 €,"1,081.53 €","1,053.80 €",Edit,108.39 €,83.31 €,Edit,"2,431.79 €",4.30,United States
Williamsburg,10.82 €,41.60 €,6.24 €,3.12 €,3.74 €,3.33 €,1.45 €,1.35 €,Edit,2.41 €,2.08 €,0.83 €,1.46 €,3.74 €,1.87 €,2.81 €,0.83 €,0.45 €,0.62 €,1.16 €,0.55 €,0.40 €,1.25 €,0.83 €,6.66 €,1.35 €,1.65 €,5.82 €,Edit,2.50 €,?,2.29 €,2.00 €,14.98 €,1.85 €,"15,807.05 €","20,798.75 €",Edit,126.95 €,0.08 €,56.16 €,Edit,31.20 €,?,9.31 €,Edit,665.56 €,"11,647.30 €",Edit,35.22 €,22.88 €,65.56 €,67.94 €,Edit,"1,081.53 €",873.55 €,"2,052.14 €","1,331.12 €",Edit,433.92 €,433.92 €,Edit,"3,896.30 €",4.05,United States
Logan,8.32 €,37.44 €,6.66 €,1.91 €,4.16 €,2.91 €,1.13 €,1.05 €,Edit,2.25 €,2.15 €,0.96 €,1.38 €,3.74 €,2.16 €,3.85 €,1.60 €,0.61 €,1.57 €,1.80 €,0.92 €,0.71 €,1.56 €,1.19 €,12.27 €,1.33 €,1.39 €,5.82 €,Edit,0.00 €,0.00 €,3.33 €,?,49.92 €,2.12 €,"19,550.82 €","14,143.15 €",Edit,153.53 €,0.07 €,54.67 €,Edit,32.61 €,12.48 €,8.74 €,Edit,551.17 €,"12,479.25 €",Edit,33.28 €,18.86 €,76.26 €,55.46 €,Edit,713.40 €,742.52 €,"1,185.53 €",956.74 €,Edit,248.22 €,133.41 €,Edit,"2,024.49 €",4.17,United States
Perth,12.84 €,60.03 €,7.70 €,5.78 €,5.78 €,3.02 €,1.98 €,1.96 €,Edit,4.04 €,1.60 €,0.87 €,3.07 €,3.18 €,3.03 €,5.04 €,1.33 €,0.97 €,1.02 €,1.33 €,0.88 €,0.52 €,1.38 €,1.55 €,9.63 €,3.13 €,3.36 €,25.68 €,Edit,2.63 €,93.09 €,3.21 €,1.78 €,31.46 €,2.94 €,"17,976.45 €","17,115.60 €",Edit,145.25 €,0.46 €,49.23 €,Edit,43.80 €,11.38 €,12.84 €,Edit,938.39 €,"9,729.46 €",Edit,61.72 €,40.39 €,87.13 €,92.07 €,Edit,979.68 €,699.48 €,"1,578.96 €","1,044.63 €",Edit,397.43 €,295.50 €,Edit,"3,012.23 €",3.52,Australia
Chester,13.79 €,57.48 €,5.75 €,3.68 €,4.60 €,3.13 €,1.36 €,1.08 €,Edit,3.81 €,0.95 €,0.52 €,1.71 €,2.10 €,1.50 €,2.14 €,0.73 €,0.52 €,0.52 €,0.78 €,0.41 €,0.44 €,0.76 €,0.87 €,7.47 €,1.90 €,2.50 €,11.50 €,Edit,4.02 €,46.56 €,2.99 €,1.72 €,23.45 €,5.45 €,"21,265.94 €","23,277.58 €",Edit,155.71 €,0.10 €,32.73 €,Edit,41.00 €,22.99 €,11.27 €,Edit,886.40 €,"7,870.31 €",Edit,57.48 €,33.70 €,72.25 €,77.59 €,Edit,764.42 €,632.23 €,"1,072.88 €",842.97 €,Edit,228.86 €,202.05 €,Edit,"2,413.97 €",3.46,United Kingdom
Glendale,12.48 €,45.76 €,6.24 €,4.99 €,6.66 €,3.69 €,1.51 €,1.24 €,Edit,3.08 €,2.71 €,1.66 €,2.72 €,5.20 €,4.29 €,5.11 €,1.49 €,0.62 €,1.19 €,1.63 €,0.97 €,0.88 €,1.46 €,1.59 €,12.06 €,1.78 €,2.27 €,7.49 €,Edit,1.46 €,64.48 €,2.37 €,2.25 €,16.64 €,2.78 €,"17,387.75 €","17,806.74 €",Edit,101.50 €,0.08 €,46.03 €,Edit,42.15 €,17.19 €,12.48 €,Edit,665.56 €,"20,636.16 €",Edit,39.42 €,32.46 €,53.24 €,79.04 €,Edit,"2,088.82 €","1,974.55 €","2,967.29 €","2,495.85 €",Edit,509.04 €,393.25 €,Edit,"2,841.94 €",3.58,United States
Durham,9.98 €,52.00 €,6.36 €,3.33 €,5.41 €,3.47 €,1.35 €,0.92 €,Edit,3.12 €,2.26 €,1.54 €,2.33 €,5.82 €,4.81 €,8.28 €,1.87 €,0.73 €,2.24 €,1.98 €,0.92 €,1.17 €,1.79 €,1.84 €,9.98 €,1.80 €,1.77 €,5.28 €,Edit,1.66 €,29.95 €,3.00 €,1.66 €,?,1.97 €,"19,297.08 €","17,642.54 €",Edit,107.27 €,0.08 €,51.10 €,Edit,26.28 €,8.32 €,9.98 €,Edit,811.15 €,"10,685.01 €",Edit,41.35 €,25.37 €,71.09 €,93.83 €,Edit,"1,262.28 €","1,039.55 €","1,736.70 €","1,280.28 €",Edit,218.49 €,111.69 €,Edit,"2,954.25 €",4.04,United States
Riverside,12.48 €,45.76 €,6.66 €,4.99 €,5.82 €,3.10 €,1.96 €,1.38 €,Edit,2.84 €,2.12 €,1.20 €,1.89 €,6.38 €,4.36 €,4.36 €,1.15 €,0.64 €,1.16 €,0.99 €,1.83 €,0.70 €,0.88 €,2.18 €,9.98 €,3.00 €,3.43 €,7.49 €,Edit,1.56 €,41.60 €,2.16 €,2.16 €,29.95 €,2.69 €,"14,975.10 €","19,966.80 €",Edit,160.07 €,0.11 €,68.10 €,Edit,33.28 €,12.48 €,10.19 €,Edit,693.29 €,"7,487.55 €",Edit,43.05 €,29.83 €,71.76 €,99.83 €,Edit,"1,358.83 €","1,169.04 €","1,762.69 €","1,825.09 €",Edit,530.97 €,201.94 €,Edit,"2,840.79 €",4.20,United States
Portland,14.98 €,49.92 €,6.24 €,4.99 €,4.58 €,3.46 €,1.59 €,1.25 €,Edit,2.63 €,2.21 €,1.62 €,2.19 €,5.08 €,3.99 €,5.32 €,1.71 €,0.66 €,1.53 €,1.85 €,0.81 €,0.96 €,1.49 €,1.64 €,9.98 €,2.57 €,3.06 €,6.56 €,Edit,2.08 €,83.19 €,2.91 €,2.16 €,33.28 €,2.42 €,"20,798.75 €","17,925.39 €",Edit,159.75 €,0.10 €,55.58 €,Edit,31.28 €,21.05 €,10.40 €,Edit,"1,035.04 €","13,154.02 €",Edit,42.21 €,30.32 €,74.22 €,86.88 €,Edit,"1,325.76 €","1,070.55 €","2,262.21 €","1,600.67 €",Edit,333.68 €,200.13 €,Edit,"3,318.97 €",3.52,United States
Nazareth,12.83 €,60.28 €,14.11 €,6.93 €,6.67 €,2.91 €,2.37 €,1.92 €,Edit,7.77 €,2.15 €,0.97 €,3.72 €,6.21 €,4.39 €,8.53 €,0.89 €,0.76 €,0.87 €,0.93 €,0.35 €,0.35 €,1.03 €,1.35 €,10.26 €,2.39 €,2.22 €,9.36 €,Edit,1.28 €,30.78 €,3.85 €,4.13 €,38.48 €,6.10 €,"34,759.28 €","34,631.02 €",Edit,175.93 €,0.02 €,24.37 €,Edit,62.85 €,7.70 €,10.90 €,Edit,513.05 €,"2,565.26 €",Edit,76.96 €,55.58 €,91.71 €,98.33 €,Edit,551.53 €,429.68 €,878.60 €,679.79 €,Edit,246.26 €,164.44 €,Edit,"2,679.24 €",1.66,Israel
Princeton,12.06 €,58.24 €,6.86 €,5.41 €,6.66 €,3.02 €,1.72 €,1.46 €,Edit,4.88 €,2.77 €,1.48 €,3.61 €,5.31 €,4.51 €,5.34 €,1.81 €,0.56 €,0.98 €,2.69 €,1.02 €,1.19 €,2.44 €,0.92 €,9.98 €,2.16 €,1.66 €,8.25 €,Edit,1.35 €,124.79 €,2.91 €,2.50 €,24.96 €,2.02 €,"15,684.34 €","14,315.64 €",Edit,165.53 €,0.42 €,59.07 €,Edit,43.26 €,30.50 €,10.82 €,Edit,"1,344.99 €","21,630.70 €",Edit,41.59 €,38.27 €,50.95 €,74.87 €,Edit,"1,436.30 €","1,263.38 €","2,807.83 €","2,412.65 €",Edit,334.07 €,277.49 €,Edit,"3,235.36 €",4.13,United States
Wilmington,12.48 €,41.60 €,5.82 €,4.16 €,4.99 €,3.25 €,1.49 €,1.34 €,Edit,2.56 €,2.07 €,1.79 €,2.49 €,4.85 €,2.23 €,5.54 €,1.93 €,0.61 €,1.93 €,1.82 €,1.41 €,1.44 €,1.46 €,1.79 €,8.32 €,2.40 €,3.74 €,4.43 €,Edit,1.66 €,66.56 €,2.50 €,1.75 €,17.68 €,1.81 €,"20,798.75 €","16,874.03 €",Edit,159.19 €,0.08 €,68.34 €,Edit,35.22 €,2.96 €,9.36 €,Edit,790.35 €,?,Edit,39.52 €,46.77 €,68.71 €,83.00 €,Edit,809.28 €,657.93 €,"1,296.73 €","1,026.94 €",Edit,139.97 €,113.48 €,Edit,"2,503.34 €",4.58,United States
Riga,8.00 €,40.00 €,5.50 €,3.00 €,2.80 €,2.57 €,1.42 €,1.02 €,Edit,3.51 €,0.79 €,0.76 €,1.89 €,3.10 €,2.43 €,3.43 €,0.49 €,0.55 €,0.71 €,0.82 €,0.22 €,0.23 €,1.21 €,0.64 €,7.00 €,1.22 €,1.54 €,4.00 €,Edit,1.17 €,50.00 €,2.10 €,1.13 €,8.40 €,4.38 €,"19,995.00 €","18,741.60 €",Edit,170.74 €,0.10 €,16.42 €,Edit,39.55 €,20.02 €,7.70 €,Edit,314.91 €,"13,510.69 €",Edit,61.46 €,36.03 €,72.73 €,96.44 €,Edit,441.54 €,305.14 €,795.70 €,559.02 €,Edit,191.08 €,117.53 €,Edit,901.64 €,2.55,Latvia
Bowling-Green,12.48 €,36.61 €,6.66 €,3.33 €,4.16 €,3.33 €,1.27 €,1.15 €,Edit,1.24 €,1.60 €,1.59 €,0.91 €,3.22 €,2.49 €,4.57 €,1.41 €,0.61 €,1.23 €,1.89 €,0.79 €,0.89 €,1.04 €,1.32 €,9.98 €,2.41 €,2.29 €,4.70 €,Edit,?,?,2.50 €,1.66 €,14.98 €,1.77 €,"15,249.64 €","19,123.20 €",Edit,151.90 €,0.18 €,52.14 €,Edit,19.80 €,11.09 €,9.98 €,Edit,530.37 €,"4,991.70 €",Edit,41.60 €,26.76 €,56.99 €,66.55 €,Edit,569.05 €,509.57 €,975.46 €,"1,008.53 €",Edit,127.56 €,110.93 €,Edit,"2,267.90 €",4.99,United States
Oxford,12.07 €,57.48 €,6.90 €,4.60 €,4.71 €,3.46 €,1.67 €,1.50 €,Edit,4.10 €,0.94 €,0.42 €,2.40 €,3.91 €,3.47 €,7.82 €,1.09 €,0.75 €,1.06 €,1.32 €,0.44 €,0.43 €,0.65 €,0.96 €,9.20 €,2.64 €,2.60 €,13.22 €,Edit,2.87 €,68.97 €,2.87 €,2.76 €,20.69 €,5.49 €,"27,300.87 €","26,142.74 €",Edit,147.48 €,0.17 €,39.21 €,Edit,49.72 €,15.09 €,12.64 €,Edit,"1,178.25 €","13,794.12 €",Edit,66.82 €,39.23 €,67.69 €,92.68 €,Edit,"1,273.56 €","1,130.06 €","2,306.20 €","1,738.63 €",Edit,907.73 €,533.96 €,Edit,"3,013.03 €",3.01,United Kingdom
Eureka,12.06 €,43.68 €,7.07 €,3.54 €,4.99 €,3.54 €,1.52 €,1.15 €,Edit,3.40 €,3.07 €,0.83 €,2.93 €,5.82 €,3.72 €,5.40 €,1.95 €,0.70 €,1.32 €,2.07 €,0.50 €,0.45 €,1.52 €,1.15 €,9.98 €,1.78 €,1.77 €,6.66 €,Edit,1.46 €,39.93 €,3.74 €,2.50 €,24.96 €,2.78 €,"20,798.75 €","19,966.80 €",Edit,105.49 €,?,67.25 €,Edit,41.00 €,?,7.90 €,Edit,901.28 €,"18,302.90 €",Edit,37.13 €,30.97 €,62.40 €,62.40 €,Edit,698.84 €,582.36 €,"1,518.31 €","1,214.65 €",Edit,166.39 €,149.75 €,Edit,"3,327.80 €",3.87,United States
Nashville,12.06 €,54.08 €,6.66 €,4.16 €,5.82 €,3.90 €,1.75 €,1.37 €,Edit,2.72 €,2.05 €,1.16 €,1.56 €,4.74 €,3.06 €,5.02 €,2.02 €,0.53 €,1.63 €,1.47 €,0.87 €,1.02 €,1.52 €,1.49 €,12.48 €,1.73 €,2.15 €,5.03 €,Edit,1.66 €,54.08 €,2.50 €,1.66 €,14.98 €,1.89 €,"19,486.35 €","17,684.87 €",Edit,132.10 €,0.15 €,58.48 €,Edit,36.53 €,12.48 €,10.82 €,Edit,893.51 €,"19,134.85 €",Edit,43.95 €,31.77 €,65.09 €,78.66 €,Edit,"1,373.70 €",962.07 €,"2,361.81 €","1,484.64 €",Edit,296.73 €,123.06 €,Edit,"3,200.67 €",3.78,United States
Palermo,7.00 €,40.00 €,7.00 €,4.00 €,3.00 €,1.51 €,1.79 €,0.97 €,Edit,3.43 €,1.07 €,0.75 €,1.96 €,4.67 €,3.09 €,4.99 €,0.81 €,0.60 €,0.43 €,0.50 €,0.39 €,0.49 €,1.14 €,0.25 €,4.75 €,1.04 €,1.46 €,5.50 €,Edit,1.50 €,32.00 €,10.00 €,1.35 €,19.00 €,5.64 €,"22,000.00 €","21,200.00 €",Edit,164.61 €,0.12 €,26.62 €,Edit,43.57 €,33.43 €,8.25 €,Edit,287.50 €,"8,166.67 €",Edit,80.10 €,30.94 €,90.57 €,95.62 €,Edit,462.50 €,303.75 €,756.25 €,517.24 €,Edit,227.03 €,116.13 €,Edit,"1,164.29 €",2.13,Italy
Atlanta,11.65 €,41.60 €,5.82 €,4.16 €,4.99 €,3.50 €,1.66 €,1.39 €,Edit,2.58 €,2.03 €,1.43 €,1.76 €,3.97 €,3.88 €,5.32 €,2.11 €,1.03 €,2.16 €,1.76 €,1.43 €,1.09 €,1.61 €,1.67 €,12.48 €,2.46 €,2.98 €,4.68 €,Edit,2.08 €,79.04 €,2.29 €,2.91 €,20.38 €,1.91 €,"19,442.67 €","17,629.02 €",Edit,141.99 €,0.16 €,56.60 €,Edit,28.38 €,19.11 €,11.79 €,Edit,950.83 €,"19,810.81 €",Edit,39.71 €,27.44 €,67.07 €,87.61 €,Edit,"1,314.84 €",951.87 €,"2,375.86 €","1,669.09 €",Edit,400.82 €,150.55 €,Edit,"4,139.79 €",3.66,United States
